"location","context","source","target"
"ROD1-9","Sc: Rob, msc: SupernovaAlt, sfx: ROB1, Next: [ROD1-10]","Thanks! Thats why I always tell people we need more Dmis at Cosmic Fuel!","고마워! 이래서 내가 늘 그러잖아. 코즈믹 퓨얼에는 드미가 여러 명 필요하다고!"
"ROD1-10","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-3]","-door opens and chimes-","- 문이 열리며 종이 울린다 -"
"D1D-3","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-4]","Ugh, Rob’s always piling stuff on me like this.","어휴, 롭 씨는 항상 나한테 이런 걸 떠맡긴다니까."
"D1D-4","No Sc, msc: SupernovaAlt, no sfx, Next: [CalderEnter]","I stare at my phone. I shouldn’t leave Cassie hanging…","나는 휴대폰에 시선을 고정했다. 캐시를 계속 기다리게 할 수는 없으니..."
"CalderEnter","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-5]","-door opens and chimes-","- 문이 열리며 종이 울린다 -"
"D1D-5","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-6]","Cassiopeia’s got to wait.","좀 기다려야겠는데."
"D1D-6","No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-6]","The customer before me nods her head to the beat coming from her headphones. He sizes up the shelves. Almost looks like he has the intention of cleaning out our stock.","내 앞에 선 손님이 헤드폰에서 흘러나오는 비트에 맞춰 고개를 까딱였다. 그가 진열대를 슥 훑어보는데, 거의 가게 재고를 싹 털어 가려는 사람 같았다."
"DD1-6","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-1]","Uh, do you need anything?","음, 찾으시는 거 있으신가요?"
"CAD-1","Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-7]","What!?","네!?"
"D1D-7","No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-7]","What type of music is that? R&B? Retro R&B?","이 노래는 장르가 뭐지? R&B인가? 레트로 R&B?"
"DD1-7","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-2]","DO YOU NEED ANYTHING?","찾으시는 거 있으세요?"
"CAD-2","Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [DD1-8]","DO I WHAT? I’M NOT GOOD AT READING LIPS!","뭐라고요? 전 입 모양 읽을 줄 몰라요!"
"DD1-8","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-3]","TURN IT DOWN!","소리 좀 줄이세요!"
"CAD-3","Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-8]","Oh!","오!"
"D1D-8","No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-4]","She adjusts the volume of her headphones.","그녀는 그제서야 헤드폰의 음량을 조절했다."
"CAD-4","Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [CAD-5]","Sorry, I sometimes forget to just turn off the music.","죄송해요, 음악 끄는 걸 잊어버릴 때가 가끔 있거든요."
"CAD-5","Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","Do you have a Doomsday sale going on?","여기 혹시 종말의 날 세일 중인가요?"
"CAD-5-Option-1","Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","Doomsday Sale?","종말의 날 세일이요?"
"CAD-5-Option-2","Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","Sure, if you just take it.","네, 그냥 가져가시면 됩니다."
"DD1-9a","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-9b]","Doomsday Sale?","종말의 날 세일이요?"
"DD1-9b","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-6]","We’re supposed to have one?","그런 걸 해야 하나요?"
"CAD-6","Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [D1D-9]","Well, why not? I looked it up on Froogle.","뭐, 하면 좋죠! 프루글에서 봤거든요."
"D1D-9","No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-10]","I sigh. She’s one of those customers.","한숨이 나온다. 그녀도 결국 이런 손님들 중 하나였다."
"DD1-10","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-9]","Sorry, there are no Doomsday promotions going on. If you cash in with your Cosmic membership that’ll take a few luncos off.","죄송합니다, 현재 종말의 날 세일은 진행하고 있지 않습니다. 코즈믹 멤버십으로 결제하시면 물건 가격의 일부를 할인받으실 수 있습니다."
"DD1-11a","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-11b]","Sure, if you just take it.","네, 그냥 가져가시면 됩니다."
"DD1-11b","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-10]","It’ll be 100% off then.","현재 100% 할인 중입니다."
"D1D-10","No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-7]","Calder’s eyes widen.","칼더 씨의 눈이 휘둥그레졌다."
"CAD-7","Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [D1D-11]","Really? I can just take it?","정말요? 정말 그냥 가져가도 돼요?"
"D1D-11","No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-12]","Excitement spreads across his face.","그가 잔뜩 신난 표정을 지었다."
"DD1-12","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-12]","No.","아뇨."
"D1D-12","No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-8]","Her smile fades.","그녀의 웃음이 사라졌다."
"CAD-8","Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-13]","Aww man.","에이, 뭐예요."
"D1D-13","No Sc, msc: SupernovaAlt, sfx: Calder_Grunt3, Next: [CAD-9]","He huffs.","그가 씩씩거린다."
"CAD-9","Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [DD1-13]","Alright then, can I put 400 Luncos on pump 2, and what type of fizzy drinks do you have? You’ve gotta have a 2-for-1 deal here.","뭐 좋아요. 그럼, 2번 주유기에 400룬코스어치 결제할게요. 여기 탄산음료는 뭐 뭐 있나요? 1+1으로요, 아시죠?"
"DD1-13","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CalderShopChoice]","Hold on, I think I have something in mind.","잠시만 기다려 주세요. 하나 생각난 게 있어요."
"CalderShopChoice","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","Select an item in the shop","가게에서 물건을 선택하세요"
"CalderShopChoice-Option-1","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","",""
"CalderShopChoice-Option-2","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]CalderShopChoice-Option-2","",""
"TDP2-1","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-2]","Her eyes light up from the soda in my hand.","그녀가 내 손에 들린 음료수를 보며 눈을 빛냈다."
"TDP2-2","Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDP2-3]","You guys carry Deia Deia Soda!? I have a coupon for those!","여기 데이아 데이아 소다도 있었어요!? 저 그거 쿠폰 있어요!"
"TDP2-3","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-4]","He pulls out a comically large coupon book and flips through the pages. She passes a coupon with a picture of Deia Deia Soda.","그는 말도 안 되게 큰 쿠폰북을 꺼내 페이지를 휙휙 넘겼다. 그러고는 데이아 데이아 소다가 그려진 쿠폰을 건넸다."
"TDP2-4","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP2-5a]","Huh. I guess you do. I’ll ring you up.","네, 확인했습니다. 계산해 드릴게요."
"TDP2-5a","No Sc, msc: SupernovaAlt, sfx: CashRegister, Next: [TDP2-5]","-register chimes-","- 계산대가 짤랑거린다 -"
"TDP2-5","Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDP2-6a]","Thanks!","감사합니다!"
"TDP2-6a","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDP2-6]","-door chimes and closes-","- 종이 울리며 문이 닫힌다 -"
"TDP2-6","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-14a]","The candle-headed alien makes his way out of the gas station. I catch a glimpse of a snazzy-looking ship outside. She’s got good taste.","머리에 양초를 단 외계인이 주유소 밖으로 걸음을 옮겼다. 창밖으로 아주 멋진 함선이 얼핏 보였다. 확실히 보는 눈이 있는 손님이다."
"D1D-14a","No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [D1D-14]","Flubber meows","플러버가 야옹거린다."
"TDN2-1","Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDN2-2]","Uh, this isn’t what I was really looking for.","아, 내가 사려고 했던 게 이게 아닌데."
"TDN2-2","Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDN2-3]","I’ve gotta go! I almost forgot there is a sale on 5D glasses on Uranus!","빨리 가야겠다! 천왕성에서 5D 안경 할인하는 걸 까먹고 있었어!"
"TDN2-3","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-14]","He bolts out of the gas station.","그는 급하게 주유소를 떠났다."
"D1D-14","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-15]","Flubber stares, unblinking.","플러버가 눈도 깜빡이지 않은 채 나를 빤히 바라본다."
"D1D-15","No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1a]","She usually does that when she’s happy!","보통 기분이 좋을 때면 저렇게 행동한다!"
"ZD1a","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-16]","-door opens and chimes-","- 문이 열리며 종이 울린다 -"
"D1D-16","No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1]","The cloudy person who enters the gas station yawns loudly. Her badge twinkles under the industrial lights.","푹신한 구름에 둘러싸인 사람이 주유소로 들어서며 입이 찢어져라 하품했다. 그녀의 배지가 가게 조명 아래 반짝였다."
"ZD1","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [ZD1b]","I’m starting a new job outside of the solar system. Do you have Zolkan Coffee perchance?","이번에 태양계 밖에서 새로운 일을 시작했거든요. 혹시 여기 졸칸 커피 있나요?"
"ZD1b","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","Select an item in the shop","가게에서 물건을 선택하세요"
"ZD1b-Option-1","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","",""
"ZD1b-Option-2","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]ZD1b-Option-2","",""
"TDP3-1","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY2, Next: [TDP3-2]","Oh, my stars! Thank you!","오, 세상에나! 감사합니다!"
"TDP3-2","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-3]","Before the drink sits for more than a nanosecond, it takes a long sip. I don’t think I’ve ever seen anyone down hot coffee that fast before…","손님은 내가 커피를 내려놓기가 무섭게 컵을 집어들더니, 단숨에 들이켰다. 뜨거운 커피를 이렇게 빨리 마시는 사람은 살면서 처음 봤다..."
"TDP3-3","Sc: Zerua, msc: SupernovaAlt, sfx: Zerua_Short, Next: [TDP3-4]","Ah, that's better.","아, 이제 좀 살겠네."
"TDP3-4","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-5]","I eye their badge and rattle my brain for a topic of conversation.","나는 손님의 배지를 살피며 어떤 주제로 이야기를 꺼낼지 머리를 굴렸다."
"TDP3-5","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-6]","Are you a clouditech? I think I’ve seen a badge like that before.","구름 설계사신가 봐요? 전에 그런 배지를 봤던 것 같아요."
"TDP3-6","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-7]","It lets out a big smile. It's as if they’ve been waiting for anyone to ask them all day.","마치 이 질문을 하루 종일 기다린 사람처럼 손님은 활짝 웃었다."
"TDP3-7","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE2, Next: [TDP3-8]","Yes! I’m starting a new job architecting artificial clouds! I’ve been looking for a job forever.","맞아요! 이번에 인공 구름을 설계하는 일을 새로 시작하게 됐거든요! 취준만 한참을 했었죠."
"TDP3-8","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-9]","She waves her finger above her to-go cup. A mini cloud forms above their cup. Bits of snow sprinkle down. She smiles proudly.","그녀가 자신의 테이크아웃 컵 위로 손가락을 빙글 저었다. 그 자리에 작은 구름이 생겨났고, 구름 아래로 작은 눈송이 몇 개가 날렸다. 그녀가 자랑스레 미소 짓는다."
"TDP3-9","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-10]","I smile too.","나도 함께 미소를 지었다."
"TDP3-10","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-11]","I hope your first day is all you want it to be.","첫날 잘 보내셨으면 좋겠네요."
"TDP3-11","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE1,CashRegister, Next: [TDP3-11b]"," Thank you! Please stay safe leaving the solar system soon! Tallyho!"," 감사합니다! 이제 곧 태양계를 떠나실 텐데, 늘 몸 조심하세요! 전 이만!"
"TDP3-11b","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]","-door chimes and closes-","- 종이 울리며 문이 닫힌다 -"
"TDN3-1","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [TDN3-2]","This isn’t quite what I’m looking for…","이걸 찾던 게 아니었는데..."
"TDN3-2","No Sc, msc: SupernovaAlt, no sfx, Next: [TDN3-3]","They pull out their phone and notice the time. It seems to wake her up a little, but not much.","손님이 휴대폰을 꺼내 시간을 확인했다. 시간을 보고 잠이 좀 깬 듯 했지만, 효과는 미미해 보였다."
"TDN3-3","Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE3, Next: [TDN3-4]","Oh! Look at the time. I’ll just figure out a way to stay up when I get there! Tallyho, gas station employee!","앗! 시간이 벌써 이렇게 됐네. 일단 가서 정신을 좀 차려야겠다! 이름 모를 직원분, 그럼 전 이만!"
"TDN3-4","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN3-4b]"," I have a nametag--"," 저 여기 명찰 있는..."
"TDN3-4b","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]TDN3-4b","-door chimes and closes-","- 종이 울리며 문이 닫힌다 -"
"D1D-17a","No Sc, msc: SupernovaAlt, sfx: FLUBBER2, Next: [D1D-17]","Flubber meows","플러버가 야옹거린다."
"D1D-17","No Sc, msc: SupernovaAlt, sfx: Flubber_Burp, Next: [D1D-18]","Flubber floats and burps. I smile and give her a pat on the head.","플러버가 둥둥 떠다니며 트림을 했다. 나는 웃으며 플러버의 머리를 쓰다듬었다."
"D1D-18","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-19]","She looks proud of herself.","얘는 자기가 엄청 자랑스러운가 보다."
"D1D-19","No Sc, msc: SupernovaAlt, sfx: Boom_2, Next: [DD1-14]","I jump up from my seat as I hear a boom come from outside.","밖에서 뭔가 터지는 소리를 듣고 벌떡 일어났다."
"DD1-14","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-1a]"," What the hell--!?"," 이게 뭔 소리야!?"
"8D-1a","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [8D-1]","-door opens and chimes-","- 문이 열리며 종이 울린다 -"
"8D-1","Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-15]","Sup.","안녕."
"DD1-15","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-20]","Uh, sup? What was that?","아, 안녕하세요? 방금 뭐였죠?"
"D1D-20","No Sc, msc: SupernovaAlt, no sfx, Next: [8D-2]","He ignores me and his eyes- er...screen look up.","그는 나를 무시하고 시선... 아니, 화면을 올렸다."
"8D-2","Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [DD1-16]","What was what?","뭐가요?"
"DD1-16","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-3]","The boom?","아까 그 폭발이요."
"8D-3","Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-17]","What boom?","무슨 폭발이요?"
"DD1-17","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-18]","The-- okay.","그... 아니에요."
"DD1-18","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-21]","Do you need something?","뭐 찾는 거라도 있으세요?"
"D1D-21","No Sc, msc: SupernovaAlt, sfx: 80008_hum2, Next: [8D-4]","A low hum comes from his circuits. He’s thinking.","그의 회로가 낮게 웅웅거렸다. 생각하는 중인가."
"8D-4","Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [D1D-22]","You sell any Arinator brand stuff here? That one made by that smoking cyborg from outta the solar system?","여기 아리네이터 브랜드 물건들도 있나요? 그 태양계 밖에서 온 화끈한 사이보그가 만든 거요."
"D1D-22","No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-19]","I’ve heard of Arinator probably. Cassiopeia’s a big fan of singers. Though something was kind of funny about this guy’s desperation. ","아리네이터라, 들어 본 적 있는 것 같다. 카시오페이아가 워낙에 가수들을 좋아하니까. 그 와중에 너무 간절해 보여서 좀 웃기네. "
"DD1-19","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-5]","I mean, I can check to see what we got.","제가 가서 있나 한번 확인해 볼게요."
"8D-5","Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [8D-5b]","Sweet! I’ll also be putting 700 luncos on pump 2.","감사해요! 그리고 2번 주유기로 700룬코스어치 주유할게요."
"8D-5b","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","Select an item in the shop","가게에서 물건을 선택하세요"
"8D-5b-Option-1","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","",""
"8D-5b-Option-2","No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]8D-5b-Option-2","",""
"TDP4-1","Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDP4-5]","Yes! Arinator’s limited edition Mint choco paste? I thought this was sold out everywhere!","우와! 한정판 아리네이터 민트초코 치약이네요? 품절된 줄 알았는데!"
"TDP4-5","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-6]","I mean, it's mint chocolate toothpaste isn’t it?","그런데, 그거 민트초코맛 치약 아닌가요?"
"TDP4-6","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-7]","I don’t think anyone is in a rush to buy that.","제가 봤을 때는 사람들이 그거 사겠다고 뛰어다닐 것 같지는 않은데요."
"TDP4-7","Sc: 8008, msc: SupernovaAlt, sfx: 80008_2,CashRegister, Next: [TDP4-7b]","You just don’t understand the intricacies of something like this! Anything she endorses is a godsend!","여기에 담긴 심오함도 모르다니 참 딱하네요! 그녀의 이름이 걸린 물건은 그 자체로 신의 선물 같은 거라고요!"
"TDP4-7b","No Sc, msc: SupernovaAlt, sfx: Door_Close,Door_Chime, Next: [TDP4-8]","-door chimes and closes-","- 종이 울리며 문이 닫힌다 -"
"TDP4-8","No Sc, msc: SupernovaAlt, no sfx, Next: [TDP4-9]","He wipes his face (screen?). Then blasts off with his bang of Arinator branded toothpaste in hand.","그는 자신의 얼굴(화면?)을 슥 닦고는 아리네이터 브랜드 치약을 든 채 큰 폭발음을 내며 날아올랐다."
"TDP4-9","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","Glad he found what he wanted.","그가 찾던 걸 무사히 사 가서 다행이다."
"TDN4-1","Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [TDN4-2]","Bro.","저기."
"TDN4-2","Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [TDN4-3]"," This is NOT Arinator. She only has her face on the cover of all her products dude."," 이건 아리네이터가 아니잖아요. 모든 아리네이터 제품은 표지에 얼굴만 딱 들어가 있다고요."
"TDN4-3","No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-4]","His facial screen switches to a video of a cyborg woman performing a song on stage. Her fans are screaming their lungs out.","그의 얼굴 화면은 한 여성 사이보그가 무대에서 노래하는 영상으로 바뀌었다. 그녀의 팬들은 목이 터져라 소리를 질러대고 있었다."
"TDN4-4","Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDN4-5]","See? You don’t recognize her?","보셨죠? 진짜 누군지 모르시겠어요?"
"TDN4-5","Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN4-6]","Oh, well...I don’t think I really know her stuff.","어, 음... 그쪽은 잘 모르겠네요."
"TDN4-6","Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [TDN4-6b]","Fine...I’ll just get gas.","네... 기름이나 넣고 갈게요."
"TDN4-6b","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDN4-7]","-door chimes and closes-","- 종이 울리며 문이 닫힌다 -"
"TDN4-7","No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-8]","I stare out the window and watch as 8008 picks up a gas pump and guzzles it straight from the nozzle. His screen shows a sad face with a tear. He then blasts off into space.","창밖을 내다보니 8008이 슬픈 얼굴로 눈물을 흘리며 주유기를 들고 기름을 벌컥벌컥 마시고 있었다. 그러고는 우주로 날아올라 떠나갔다."
"TDN4-8","No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","Poor guy.","불쌍하네."
"D1D-24a","No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-24]","-door opens and chimes-","- 문이 열리며 종이 울린다 -"
