ID,Name,Line
[CRD3],Crust," I’m looking for duct tape, five laser blasters, a medkit, a flaming katana-- "
[DD1-21],Dmi," Sir, this is a gas station. "
[D1D-26],,He stares blankly at me. 
[CRD4],Crust,...Can I at least get the katana? 
[DD1-22],Dmi, What do you even need a Katana for?! 
[D1D-27],,The man lets out a hearty laugh. He slaps his rocky chest. Pebbles fall off him. 
[CRD5],Crust, Doomsday is in just three days! While you’re in here wasting away working MINIMUM wage! 
[CRD6],Crust," I, Crust, from Mercury, will look at this burning ball of hell gas, and say… "
[DD1-23],Dmi, … 
[CRD7],Crust, No. 
[D1D-28],,He smiles widely. 
[DD1-24],Dmi," Sir, I don’t think you will survive a supernova. "
[CRD8],Crust," I will. Born from the crust of Mercury, I can survive anything. "
[CRD9],Crust, Besides didn’t you hear? The supernova is a cover-up by the intergalactic association-- 
[D1D-29],,"Oh, brother. "
[DD1-25],Dmi, How about this Crust? I can help you get something that can help you out in your… 
[CRD10],Crust, My supernova bunker. 
[DD1-26],Dmi, Your supernova bunker. 
[DD1-27],Dmi, Alright... a nonperishable snack will be good. 
[TDN5-1],Crust," Sorry kid, but I don’t really think something like this is going to be much use in my bunker. "
[TDN5-2],Crust, You sure you don’t have blasters in the back? 
[TDN5-3],Dmi," We’re still just a gas station, sir. "
[TDN5-4],Crust, Alright. 
[TDN5-5],Crust," Stay safe, kid. I gotta go prep my bunker some more. "
[TDP5-1],Crust, Jerky! You’re thinking like a true survivor kid! This is great! 
[TDP5-2],Dmi," Heh, thanks. I just remembered it from a TV show called Survivorz. "
[TDP5-3],,Before you could even ring it up the man opens the bag and starts eating the jerky. 
[TDP5-4],Crust," Hm, you got somewhere to go kid? I can formally invite you to my bunker if ya want. "
[TDP5-5],Dmi," Oh, nah. I’ll be here. "
[TDP5-6],,Crust chokes on a piece of jerky and coughs. He bumps his chest a few times. 
[TDP5-7],Crust, Why? Don’t you got someone special to go home to? 
[TDP5-8],Crust, I’d expect you young’uns to hightail it outta here. 
[TDP5-9],,A familiar face flashes in my mind. My normal bored expression cracks. 
[TDP5-10],Dmi," She’ll be fine without me. Besides, I like to be kept busy. "
[TDP5-11],,Crust doesn’t speak. I listen to his chewing. He rummages in his pocket to give me his luncos. 
[TDP5-12],Crust, Don’t be too sure about that kid. Don’t choose for others how important you are to them. 
[TDP5-13],Crust," I’m gonna be fine when things go down, but you won’t. Talk to who you’re thinking bout. "
[TDP5-14],,I don’t answer. It's a bit surprising I feel I am getting life advice from this apocalyptic junkie of some sort. 
[TDP5-15],,He smiles and waves at me before leaving. I watch the small bits of rock fall to the ground. 
[TDP5-16],,I’ll be cleaning that up. 
[D1D-30],,It's almost closing time… 
[D1D-31],,Flubber lounges in her usual spot. I smile and scratch under her chin. 
[DD1-28],Dmi, We had a good day didn’t we? 
[D1D-23],,I facepalm as I remember I never messaged Cassiopeia back. 
